rcf_uri,cesare_uri,name
http://rcf.logilab.fr/Pièce/5772,http://cesar2.huma-num.fr/script/9067,Fragments de Molière (Les)
http://rcf.logilab.fr/Pièce/5396,http://cesar2.huma-num.fr/script/14410,Phèdre et Hippolyte ou Phèdre
http://rcf.logilab.fr/Pièce/5421,http://cesar2.huma-num.fr/script/16687,Sertorius
http://rcf.logilab.fr/Pièce/5006,http://cesar2.huma-num.fr/script/12478,Mère coquette ou les Amants brouillés (La)
http://rcf.logilab.fr/Pièce/4857,http://cesar2.huma-num.fr/script/1355,Amphitryon
http://rcf.logilab.fr/Pièce/4914,http://cesar2.huma-num.fr/script/6843,Don Japhet d'Arménie
http://rcf.logilab.fr/Pièce/5140,http://cesar2.huma-num.fr/script/11667,Malade imaginaire (Le)
http://rcf.logilab.fr/Pièce/5427,http://cesar2.huma-num.fr/script/17291,Tartuffe ou l'Imposteur
http://rcf.logilab.fr/Pièce/5319,http://cesar2.huma-num.fr/script/7833,Étourdi ou les Contretemps (L')
http://rcf.logilab.fr/Pièce/5511,http://cesar2.huma-num.fr/script/6826,Don Bertrand de Cigarral
http://rcf.logilab.fr/Pièce/5507,http://cesar2.huma-num.fr/script/5771,Crispin musicien
http://rcf.logilab.fr/Pièce/5401,http://cesar2.huma-num.fr/script/14758,"Polyeucte, martyr "
http://rcf.logilab.fr/Pièce/5382,http://cesar2.huma-num.fr/script/13155,Nicomède
http://rcf.logilab.fr/Pièce/4865,http://cesar2.huma-num.fr/script/1683,Ariane
http://rcf.logilab.fr/Pièce/5525,http://cesar2.huma-num.fr/script/9660,Hercule
http://rcf.logilab.fr/Pièce/5195,http://cesar2.huma-num.fr/script/16712,Sicilien ou l'Amour peintre (Le)
http://rcf.logilab.fr/Pièce/5693,http://cesar2.huma-num.fr/script/9292,Geôlier de soi-même ou Jodelet prince (Le)
http://rcf.logilab.fr/Pièce/4858,http://cesar2.huma-num.fr/script/1416,Andromaque
http://rcf.logilab.fr/Pièce/5500,http://cesar2.huma-num.fr/script/4866,Cléopâtre
http://rcf.logilab.fr/Pièce/5846,http://cesar2.huma-num.fr/script/17284,Tarquin
http://rcf.logilab.fr/Pièce/5862,http://cesar2.huma-num.fr/script/18768,"Zélonide, princesse de Sparte"
http://rcf.logilab.fr/Pièce/4937,http://cesar2.huma-num.fr/script/9655,"Héraclius, empereur d'Orient"
http://rcf.logilab.fr/Pièce/5812,http://cesar2.huma-num.fr/script/13471,Œdipe
http://rcf.logilab.fr/Pièce/4885,http://cesar2.huma-num.fr/script/4058,Britannicus
http://rcf.logilab.fr/Pièce/5372,http://cesar2.huma-num.fr/script/12660,Mithridate
http://rcf.logilab.fr/Pièce/4881,http://cesar2.huma-num.fr/script/3593,Bérénice
http://rcf.logilab.fr/Pièce/4879,http://cesar2.huma-num.fr/script/2697,Bajazet
http://rcf.logilab.fr/Pièce/5596,http://cesar2.huma-num.fr/script/6529,Devineresse ou les Faux enchantements  (La)
http://rcf.logilab.fr/Pièce/5828,http://cesar2.huma-num.fr/script/15337,Pyrame et Thisbé
http://rcf.logilab.fr/Pièce/4894,http://cesar2.huma-num.fr/script/4797,Cinna ou la Clémence d'Auguste
http://rcf.logilab.fr/Pièce/5436,http://cesar2.huma-num.fr/script/18283,Venceslas
http://rcf.logilab.fr/Pièce/5278,http://cesar2.huma-num.fr/script/9036,Fourberies de Scapin (Les)
http://rcf.logilab.fr/Pièce/5644,http://cesar2.huma-num.fr/script/16240,Rue Saint-Denis (La)
http://rcf.logilab.fr/Pièce/5073,http://cesar2.huma-num.fr/script/3983,Bourgeois gentilhomme (Le)
http://rcf.logilab.fr/Pièce/5469,http://cesar2.huma-num.fr/script/1422,Andromède
http://rcf.logilab.fr/Pièce/5481,http://cesar2.huma-num.fr/script/2276,Artaxerce
http://rcf.logilab.fr/Pièce/5848,http://cesar2.huma-num.fr/script/17322,Téléphonte
http://rcf.logilab.fr/Pièce/5858,http://cesar2.huma-num.fr/script/18589,Virginie
http://rcf.logilab.fr/Pièce/5810,http://cesar2.huma-num.fr/script/13183,Nitocris
http://rcf.logilab.fr/Pièce/5730,http://cesar2.huma-num.fr/script/15677,Rendez-vous (Le)
http://rcf.logilab.fr/Pièce/5799,http://cesar2.huma-num.fr/script/12045,"Marie Stuart, reine d'Écosse "
http://rcf.logilab.fr/Pièce/5682,http://cesar2.huma-num.fr/script/6804,Docteur extravagant (Le)
http://rcf.logilab.fr/Pièce/5819,http://cesar2.huma-num.fr/script/14150,Pénélope
http://rcf.logilab.fr/Pièce/5478,http://cesar2.huma-num.fr/script/2227,Arminius
http://rcf.logilab.fr/Pièce/5316,http://cesar2.huma-num.fr/script/7800,Esprit follet ou la Dame invisible (L')
http://rcf.logilab.fr/Pièce/5829,http://cesar2.huma-num.fr/script/15484,Ragotin ou le Roman comique
http://rcf.logilab.fr/Pièce/5627,http://cesar2.huma-num.fr/script/12824,Mort d'Alexandre (La)
http://rcf.logilab.fr/Pièce/5673,http://cesar2.huma-num.fr/script/4928,Cocher supposé (Le)
